q1,q14,q15,location,location_latitude,location_longitude,location_altitude,location_precision,final_age,age_category_child
1,0,1,0.3582478212049805 34.61624404119947 1368.0 10.0,0.358247821,34.61624404,1368,10,18,2
1,0,0, , , , , ,18,2
1,1,1,-4.135756761830755 39.55523928842353 36.0 25.0,-4.135756762,39.55523929,36,25,18,2
1,1,1,-4.0981202469546645 39.53471963537107 25.0 250.0,-4.098120247,39.53471964,25,250,18,2
2,1,1,-4.1424455774431586 39.55895468339136 46.0 5.0,-4.142445577,39.55895468,46,5,18,2
1,0,0,-4.303749271532159 39.455382984878895 163.0 5.0,-4.303749272,39.45538298,163,5,18,2
1,0,1,-4.2656476321283465 39.46041600119796 125.0 10.0,-4.265647632,39.460416,125,10,18,2
1,0,0,-4.342376685834575 39.25690299605512 181.0 50.0,-4.342376686,39.256903,181,50,18,2
2,0,1,-4.340015055201962 39.25416698581398 182.0 5.0,-4.340015055,39.25416699,182,5,18,2
1,0,1,0.2184102 34.5933026 0.0 4015.0,0.2184102,34.5933026,0,4015,18,2
2,0,0,0.27431029943064805 34.54153441455554 1290.0 10.0,0.274310299,34.54153441,1290,10,18,2
2,0,1, , , , , ,18,2
1,0,1, , , , , ,18,2
1,0,0,0.3570691734729867 34.57712331730184 1320.0 10.0,0.357069173,34.57712332,1320,10,18,2
2,1,0,0.29392994286112334 34.61439307933233 1336.0 15.0,0.293929943,34.61439308,1336,15,18,2
1,0,1, , , , , ,18,2
2,0,1, , , , , ,18,2
1,1,1,0.34065480714881835 34.47660692267897 1283.0 25.0,0.340654807,34.47660692,1283,25,19,2
2,0,0, , , , , ,19,2
2,0,0, , , , , ,19,2
1,0,0,-4.379632212725068 39.2917892350182 85.0 10.0,-4.379632213,39.29178924,85,10,19,2
1,1,1,-4.18572623437127 39.55969320496118 105.0 25.0,-4.185726234,39.5596932,105,25,19,2
2,0,1,-4.225642283314615 39.58233592644521 -13.0 10.0,-4.225642283,39.58233593,-13,10,19,2
1,0,1, , , , , ,19,2
2,0,0,0.28063344850297395 34.53860183746136 1320.0 10.0,0.280633449,34.53860184,1320,10,19,2
2,0,0,0.3188591 34.5549624 0.0 4287.0,0.3188591,34.5549624,0,4287,19,2
2,0,0, , , , , ,19,2
1,1,1,0.3229562 34.5676962 0.0 4046.0,0.3229562,34.5676962,0,4046,19,2
1,0,1, , , , , ,19,2
2,0,1, , , , , ,19,2
2,0,0,0.33279382847409433 34.49067598490818 1299.0 5.0,0.332793828,34.49067598,1299,5,20,2
1,0,1,0.3195585188166432 34.50170318409105 1296.0 10.0,0.319558519,34.50170318,1296,10,20,2
1,0,0,0.33727942460133153 34.50526975983051 1308.0 5.0,0.337279425,34.50526976,1308,5,20,2
1,0,0,0.34938966215974065 34.492512916006184 1255.0 20.0,0.349389662,34.49251292,1255,20,20,2
2,1,1, , , , , ,20,2
2,0,0,0.2785868380026013 34.43178359079525 1273.0 10.0,0.278586838,34.43178359,1273,10,20,2
1,0,0, , , , , ,20,2
1,1,1,0.35917969673332384 34.618465349461005 1399.0 10.0,0.359179697,34.61846535,1399,10,20,2
2,0,1,-4.170735526449434 39.60292757204142 -2.0 30.0,-4.170735526,39.60292757,-2,30,20,2
1,1,1, , , , , ,20,2
2,0,1,0.35522546655230125 34.59781464484295 1338.0 10.0,0.355225467,34.59781464,1338,10,20,2
1,0,1,-4.129394177685401 39.61836213146436 20.0 5.0,-4.129394178,39.61836213,20,5,20,2
1,0,0,0.31784927674468005 34.57443595121761 1415.0 10.0,0.317849277,34.57443595,1415,10,20,2
2,1,1,0.2843128278525599 34.526944890603374 1316.0 10.0,0.284312828,34.52694489,1316,10,20,2
1,1,1, , , , , ,20,2
2,0,1,0.3812720010759729 34.56793627772138 1314.0 5.0,0.381272001,34.56793628,1314,5,20,2
2,0,0,0.3801117144430023 34.57052727165527 1309.0 5.0,0.380111714,34.57052727,1309,5,20,2
1,0,0, , , , , ,20,2
1,0,1, , , , , ,21,2
1,0,0, , , , , ,21,2
1,1,1,-4.1791329 39.4551515 0.0 2750.0,-4.1791329,39.4551515,0,2750,21,2
1,0,0,-4.1733404 39.4532671 0.0 1801.0,-4.1733404,39.4532671,0,1801,21,2
1,1,1,-4.1853292416566195 39.57525454085596 49.0 5.0,-4.185329242,39.57525454,49,5,21,2
